ID;Área;Equipamento;QT_UN_APREENDIDAS;QT_UN_LACRADAS;QT_UN_RETIDAS;Valor Estimado;QT_UN_RETIRADAS;Mês;Data;DT_EXTRACAO;Ano
54794;4-Aduana;SmartTV Box;;;4000;1200000,00;4000;jul;29/07/2021;28/12/2021;2021
54793;4-Aduana;SmartTV Box;;;16000;3200000,00;16000;jul;29/07/2021;28/12/2021;2021
54793;4-Aduana;Carregadores de Baterias;;;45000;900000,00;45000;jul;29/07/2021;28/12/2021;2021
71441;4-Aduana;SmartTV Box;;;2000;400000,00;2000;jul;14/07/2021;28/12/2021;2021
73522;4-Aduana;Celulares;;;189;198000,00;189;ago;13/08/2021;28/12/2021;2021
71447;4-Aduana;SmartTV Box;;;14604;2920000,00;14604;jul;14/07/2021;28/12/2021;2021
76793;4-Aduana;SmartTV Box;;;78;25604,00;78;nov;30/11/2021;28/12/2021;2021
71447;4-Aduana;SmartTV Box;;;8960;1792000,00;8960;jul;14/07/2021;28/12/2021;2021
41526;4-Aduana;SmartTV Box;;;32000;9600000,00;32000;ago;05/08/2021;28/12/2021;2021
49965;4-Aduana;Outros;;50;;193150,00;50;fev;25/02/2021;28/12/2021;2021
54793;4-Aduana;Outros;;;12840;256800,00;12840;jul;29/07/2021;28/12/2021;2021
52124;4-Aduana;Outros;;;8;31500,00;8;abr;27/04/2021;28/12/2021;2021
49965;4-Aduana;SmartTV Box;;;1;400,00;1;fev;25/02/2021;28/12/2021;2021
71447;4-Aduana;SmartTV Box;;;1200;240000,00;1200;jul;14/07/2021;28/12/2021;2021
51327;4-Aduana;Bloqueador de sinal (Jammer);;;2;7000,00;2;mar;25/03/2021;28/12/2021;2021
54842;4-Aduana;Outros;;7;;31900,00;7;jun;08/06/2021;28/12/2021;2021
41695;4-Aduana;SmartTV Box;;;12000;3600000,00;12000;fev;24/02/2021;28/12/2021;2021
41039;1-Comércio;SmartTV Box;;400;;120000,00;400;set;16/09/2020;28/12/2021;2020
51327;4-Aduana;Equipamento de Rede de Dados;;;1;3900,00;1;mar;25/03/2021;28/12/2021;2021
74569;4-Aduana;Outros;;;4;4640,00;4;set;30/09/2021;28/12/2021;2021
54842;4-Aduana;SmartTV Box;;3;;815,00;3;jun;08/06/2021;28/12/2021;2021
41460;4-Aduana;SmartTV Box;;;11600;3480000,00;11600;fev;16/02/2021;28/12/2021;2021
54842;4-Aduana;Equipamento de Rede de Dados;;2;;9000,00;2;jun;08/06/2021;28/12/2021;2021
74569;4-Aduana;SmartTV Box;;;69;14198,00;69;set;30/09/2021;28/12/2021;2021
51327;4-Aduana;SmartTV Box;;;6;5000,00;6;mar;25/03/2021;28/12/2021;2021
71454;4-Aduana;SmartTV Box;;;7000;1400000,00;7000;jul;14/07/2021;28/12/2021;2021
71447;4-Aduana;SmartTV Box;;;840;168000,00;840;jul;14/07/2021;28/12/2021;2021
71441;4-Aduana;SmartTV Box;;;14000;2800000,00;14000;jul;14/07/2021;28/12/2021;2021
71441;4-Aduana;SmartTV Box;;;4000;800000,00;4000;jul;14/07/2021;28/12/2021;2021
51327;4-Aduana;Outros;;;32;77800,00;32;mar;25/03/2021;28/12/2021;2021
78213;;Equipamento de Radiação Restrita;;;5500;1083000,00;5500;dez;15/12/2021;28/12/2021;2021
78213;;Carregadores de Baterias;;;12500;250000,00;12500;dez;15/12/2021;28/12/2021;2021
73984;4-Aduana;Equipamento de Radiação Restrita;;;10880;100473,45;10880;out;26/10/2021;28/12/2021;2021
55806;4-Aduana;Carregadores de Baterias;;;120000;114480,00;120000;mai;13/05/2021;28/12/2021;2021
55000;4-Aduana;Equipamento de Radiação Restrita;;;1470;29009,88;1470;jun;30/06/2021;28/12/2021;2021
73267;4-Aduana;Equipamento de Radiação Restrita;;;3092;540944,00;3092;out;28/10/2021;28/12/2021;2021
54910;4-Aduana;SmartTV Box;;;200;3850,00;200;mai;04/05/2021;28/12/2021;2021
55005;4-Aduana;Equipamento de Radiação Restrita;;;904;46962,71;904;jul;01/07/2021;28/12/2021;2021
42820;;Equipamento de Radiação Restrita;2;;;;2;nov;15/11/2020;28/12/2021;2020
73581;4-Aduana;Equipamento de Radiação Restrita;;;4054;184301,00;4054;out;07/10/2021;28/12/2021;2021
43012;4-Aduana;SmartTV Box;;2500;;;2500;dez;08/12/2020;28/12/2021;2020
73954;4-Aduana;SmartTV Box;0;0;1000;252000,00;1000;out;21/10/2021;28/12/2021;2021
73581;4-Aduana;Carregadores de Baterias;;;32500;468550,00;32500;out;07/10/2021;28/12/2021;2021
55002;4-Aduana;Equipamento de Radiação Restrita;;;2500;14269,12;2500;jun;30/06/2021;28/12/2021;2021
73356;4-Aduana;Equipamento de Radiação Restrita;;;3812;98162,61;3812;out;04/10/2021;28/12/2021;2021
55003;4-Aduana;Equipamento de Radiação Restrita;;;318;4867,04;318;jul;02/07/2021;28/12/2021;2021
55004;4-Aduana;Equipamento de Radiação Restrita;;;7690;57675,00;7690;jun;30/06/2021;28/12/2021;2021
71925;4-Aduana;Equipamento de Radiação Restrita;;;15500;73237,50;15500;jul;19/07/2021;28/12/2021;2021
73984;4-Aduana;Baterias;;;28000;34125,00;28000;out;26/10/2021;28/12/2021;2021
73992;4-Aduana;Equipamento de Radiação Restrita;;;52410;1850300,00;52410;nov;05/11/2021;28/12/2021;2021
55686;1-Comércio;Equipamento de Rede de Dados;0;1425;;;1425;jul;28/07/2021;28/12/2021;2021
71921;4-Aduana;Carregadores de Baterias;;;10000;26945,73;10000;jul;14/07/2021;28/12/2021;2021
55686;1-Comércio;Outros;0;236;;;236;jul;28/07/2021;28/12/2021;2021
55686;1-Comércio;Outros;0;372;;;372;jul;28/07/2021;28/12/2021;2021
71921;4-Aduana;Equipamento de Radiação Restrita;;;26622;73236,46;26622;jul;14/07/2021;28/12/2021;2021
